DATE,TREAT,TRAP,ABIPN,BURSI,C7,CMAC,CSTIG,CTRIF,CYCSP,H13,HAXY,HCONV,HGLAC,HPARN,HVAR,PQUA,CANTHARID,LAMPY,LCW,MECOP,20SPOT,OTHER
7/2/2020,SF-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/2020,SF-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/2020,SF-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/2020,SF-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7/2/2020,SF-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7/2/2020,SF-2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/2020,SF-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7/2/2020,SF-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7/2/2020,SF-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7/2/2020,SF-3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7/2/2020,DF-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/2020,DF-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/2020,DF-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/2020,DF-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
7/2/2020,DF-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/2020,DF-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
