"TRAPID","TREAT","REPLICATE","STATION","PLOT","XUTM83","YUTM83"
170,"T2",5,5,34,634159.50,4697092.46
171,"T6",5,1,35,634002.90,4697082.40
172,"T6",5,2,35,634017.90,4697068.40
173,"T6",5,3,35,634032.90,4697080.40
174,"T6",5,4,35,634047.90,4697112.40
175,"T6",5,5,35,634062.90,4697090.40
176,"T1",6,1,36,633632.13,4696282.32
177,"T1",6,2,36,633647.13,4696268.32
178,"T1",6,3,36,633662.13,4696280.32
179,"T1",6,4,36,633677.13,4696312.32
180,"T1",6,5,36,633692.13,4696290.32
181,"T3",6,1,37,633536.54,4696278.11
182,"T3",6,2,37,633551.54,4696264.11
183,"T3",6,3,37,633566.54,4696276.11
184,"T3",6,4,37,633581.54,4696308.11
185,"T3",6,5,37,633596.54,4696286.11
186,"T7",6,1,38,633532.81,4696392.48
187,"T7",6,2,38,633547.81,4696378.48
188,"T7",6,3,38,633562.81,4696390.48
189,"T7",6,4,38,633577.81,4696422.48
190,"T7",6,5,38,633592.81,4696400.48
191,"T4",6,1,39,633629.13,4696395.02
192,"T4",6,2,39,633644.13,4696381.02
193,"T4",6,3,39,633659.13,4696393.02
194,"T4",6,4,39,633674.13,4696425.02
195,"T4",6,5,39,633689.13,4696403.02
196,"T2",6,1,40,633721.00,4696512.52
197,"T2",6,2,40,633736.00,4696498.52
198,"T2",6,3,40,633751.00,4696510.52
199,"T2",6,4,40,633766.00,4696542.52
200,"T2",6,5,40,633781.00,4696520.52
201,"T6",6,1,41,633624.39,4696510.12
202,"T6",6,2,41,633639.39,4696496.12
203,"T6",6,3,41,633654.39,4696508.12
204,"T6",6,4,41,633669.39,4696540.12
205,"T6",6,5,41,633684.39,4696518.12
206,"T5",6,1,42,633523.98,4696505.08
207,"T5",6,2,42,633532.98,4696498.08
208,"T5",6,3,42,633541.98,4696487.08
209,"T5",6,4,42,633550.98,4696491.08
210,"T5",6,5,42,633559.98,4696513.08
